time setpoint speed position
10:33:48 200.00 200.84 88.46
10:33:48 200.00 201.20 111.92
10:33:48 200.00 199.32 135.77
10:33:48 200.00 199.12 160.00
10:33:48 200.00 200.05 -175.77
10:33:48 200.00 200.67 -151.54
10:33:48 200.00 201.08 -127.69
10:33:48 200.00 200.30 -103.85
10:33:48 200.00 199.78 -80.38
10:33:48 200.00 198.37 -56.54
10:33:48 200.00 198.49 -32.31
10:33:48 200.00 199.62 -8.08
10:33:48 200.00 200.38 16.15
10:33:48 200.00 200.89 40.00
10:33:48 200.00 200.17 63.85
10:33:48 200.00 199.69 88.08
10:33:48 200.00 200.43 112.31
10:33:48 200.00 200.92 136.54
10:33:48 200.00 201.25 160.77
10:33:48 200.00 201.47 -175.38
10:33:48 200.00 200.56 -151.54
10:33:48 200.00 199.95 -127.69
10:33:48 200.00 199.55 -103.46
10:33:48 200.00 200.33 -79.23
10:33:48 200.00 200.86 -55.00
10:33:48 200.00 201.21 -31.15
10:33:48 200.00 200.39 -7.31
10:33:48 200.00 199.84 16.54
10:33:48 200.00 199.47 40.38
10:33:48 200.00 199.22 64.62
10:33:48 200.00 200.11 88.46
10:33:48 200.00 199.65 112.69
10:33:48 200.00 200.40 136.15
10:33:48 200.00 198.79 160.00
10:33:49 200.00 198.76 -176.15
10:33:49 200.00 198.75 -151.54
10:33:49 200.00 200.85 -127.31
10:33:49 200.00 201.21 -103.08
10:33:49 200.00 201.44 -79.23
10:33:49 200.00 200.54 -55.38
10:33:49 200.00 199.94 -31.15
10:33:49 200.00 200.60 -6.92
10:33:49 200.00 201.03 17.31
10:33:49 200.00 201.33 41.92
10:33:49 200.00 202.58 65.77
10:33:49 200.00 201.31 89.62
10:33:49 200.00 200.45 113.46
10:33:49 200.00 199.88 137.31
10:33:49 200.00 199.50 161.54
10:33:49 200.00 200.30 -174.23
10:33:49 200.00 200.83 -150.38
10:33:49 200.00 200.14 -126.54
10:33:49 200.00 199.67 -102.69
10:33:49 200.00 199.35 -78.46
10:33:49 200.00 200.20 -54.62
10:33:49 200.00 199.71 -30.00
10:33:49 200.00 201.50 -6.15
10:33:49 200.00 200.58 17.69
10:33:49 200.00 199.97 41.15
10:33:49 200.00 198.50 65.00
10:33:49 200.00 198.57 88.85
10:33:49 200.00 198.62 113.08
10:33:49 200.00 199.71 136.92
10:33:49 200.00 199.38 160.38
10:33:49 200.00 198.11 -175.77
10:33:49 200.00 198.31 -151.92
10:33:49 200.00 198.44 -127.69
10:33:49 200.00 199.59 -103.46
10:33:49 200.00 200.36 -79.23
10:33:49 200.00 200.88 -55.38
10:33:49 200.00 200.16 -31.54
10:33:49 200.00 199.69 -7.69
10:33:49 200.00 199.37 16.92
10:33:49 200.00 201.27 41.15
10:33:49 200.00 201.48 65.38
10:33:49 200.00 201.63 89.23
10:33:49 200.00 200.67 112.69
10:33:49 200.00 198.97 136.15
10:33:49 200.00 197.83 160.38
10:33:49 200.00 199.18 -175.77
10:33:49 200.00 199.03 -151.54
10:33:49 200.00 199.98 -127.31
10:33:49 200.00 200.62 -103.08
10:33:50 200.00 201.05 -79.23
10:33:50 200.00 200.28 -55.00
10:33:50 200.00 200.82 -30.77
10:33:50 200.00 201.19 -6.54
10:33:50 200.00 201.43 17.69
10:33:50 200.00 201.59 41.54
10:33:50 200.00 200.64 65.38
10:33:50 200.00 200.01 89.23
10:33:50 200.00 199.58 113.46
10:33:50 200.00 200.35 137.69
10:33:50 200.00 200.87 161.92
10:33:50 200.00 201.22 -174.23
10:33:50 200.00 200.39 -150.77
10:33:50 200.00 198.78 -126.92
10:33:50 200.00 198.76 -102.69
10:33:50 200.00 199.80 -78.46
10:33:50 200.00 200.50 -54.23
10:33:50 200.00 200.97 -30.00
10:33:50 200.00 201.29 -6.15
10:33:50 200.00 200.44 17.69
10:33:50 200.00 199.87 41.92
10:33:50 200.00 200.55 66.15
10:33:50 200.00 201.00 90.38
10:33:50 200.00 201.31 114.62
10:33:50 200.00 201.51 138.46
10:33:50 200.00 200.59 162.31
10:33:50 200.00 199.97 -173.85
10:33:50 200.00 199.56 -149.62
10:33:50 200.00 200.34 -125.38
10:33:50 200.00 200.86 -101.54
10:33:50 200.00 200.15 -77.69
10:33:50 200.00 199.68 -53.85
10:33:50 200.00 199.36 -30.00
10:33:50 200.00 199.15 -5.77
10:33:50 200.00 200.07 18.46
10:33:50 200.00 200.68 42.69
10:33:50 200.00 201.09 66.54
10:33:50 200.00 200.31 90.00
10:33:50 200.00 198.72 113.85
10:33:50 200.00 198.72 138.08
10:33:50 200.00 199.78 162.31
10:33:50 200.00 200.49 -173.08
10:33:50 200.00 202.02 -149.23
10:33:50 200.00 200.93 -125.38
10:33:50 200.00 200.20 -101.54
10:33:50 200.00 199.71 -77.69
10:33:50 200.00 199.38 -53.46
10:33:50 200.00 200.22 -29.23
10:33:50 200.00 200.78 -5.38
10:33:50 200.00 200.10 18.46
10:33:51 200.00 199.64 41.92
10:33:51 200.00 198.28 65.77
10:33:51 200.00 198.43 90.00
10:33:51 200.00 199.58 114.23
10:33:51 200.00 200.35 138.46
10:33:51 200.00 200.87 162.31
10:33:51 200.00 200.16 -173.85
10:33:51 200.00 199.68 -150.00
10:33:51 200.00 199.37 -125.77
10:33:51 200.00 200.21 -101.54
10:33:51 200.00 200.77 -77.31
10:33:51 200.00 201.15 -53.08
10:33:51 200.00 201.41 -29.62
10:33:51 200.00 199.46 -5.38
10:33:51 200.00 200.27 18.08
10:33:51 200.00 198.70 42.31
10:33:51 200.00 199.77 66.54
10:33:51 200.00 200.48 90.77
10:33:51 200.00 200.95 114.62
10:33:51 200.00 200.22 138.46
10:33:51 200.00 199.72 162.69
10:33:51 200.00 200.45 -172.69
10:33:51 200.00 201.99 -148.46
10:33:51 200.00 201.97 -124.23
10:33:51 200.00 201.95 -100.38
10:33:51 200.00 200.89 -76.54
10:33:51 200.00 200.17 -52.69
10:33:51 200.00 199.69 -28.46
10:33:51 200.00 200.43 -4.23
10:33:51 200.00 200.92 20.00
10:33:51 200.00 201.25 43.85
10:33:51 200.00 200.42 67.31
10:33:51 200.00 198.80 91.15
10:33:51 200.00 198.77 115.38
10:33:51 200.00 199.81 139.62
10:33:51 200.00 200.51 164.23
10:33:51 200.00 202.03 -171.92
10:33:51 200.00 200.94 -148.08
10:33:51 200.00 200.21 -124.23
10:33:51 200.00 199.71 -100.00
10:33:51 200.00 200.44 -75.77
10:33:51 200.00 200.93 -51.54
10:33:51 200.00 201.26 -27.69
10:33:51 200.00 200.42 -4.23
10:33:51 200.00 198.80 19.62
10:33:51 200.00 198.77 43.46
10:33:51 200.00 198.76 67.69
10:33:51 200.00 199.80 91.92
10:33:51 200.00 200.50 116.15
10:33:51 200.00 200.97 140.00
10:33:51 200.00 200.23 163.85
10:33:52 200.00 199.73 -172.31
10:33:52 200.00 199.40 -148.08
10:33:52 200.00 200.23 -123.46
10:33:52 200.00 201.85 -99.23
10:33:52 200.00 201.87 -75.38
10:33:52 200.00 200.83 -51.92
10:33:52 200.00 199.08 -28.08
10:33:52 200.00 198.96 -4.23
10:33:52 200.00 198.88 20.00
10:33:52 200.00 199.88 43.85
10:33:52 200.00 199.50 67.69
10:33:52 200.00 199.24 91.15
10:33:52 200.00 198.01 115.00
10:33:52 200.00 198.24 139.23
10:33:52 200.00 199.46 163.46
10:33:52 200.00 200.27 -172.31
10:33:52 200.00 200.82 -148.46
10:33:52 200.00 200.12 -125.00
10:33:52 200.00 198.60 -101.15
10:33:52 200.00 198.64 -76.92
10:33:52 200.00 199.72 -52.69
10:33:52 200.00 200.45 -28.08
10:33:52 200.00 201.99 -3.85
10:33:52 200.00 201.97 20.00
10:33:52 200.00 200.90 43.85
10:33:52 200.00 200.18 67.69
10:33:52 200.00 199.70 91.92
10:33:52 200.00 200.43 116.15
10:33:52 200.00 200.92 140.00
10:33:52 200.00 200.20 164.23
10:33:52 200.00 200.77 -172.31
10:33:52 200.00 199.03 -148.08
10:33:52 200.00 199.99 -124.23
10:33:52 200.00 199.57 -100.00
10:33:52 200.00 200.34 -75.77
10:33:52 200.00 200.87 -51.92
10:33:52 200.00 200.16 -28.08
10:33:52 200.00 199.68 -4.23
10:33:52 200.00 199.36 20.00
10:33:52 200.00 200.21 44.23
10:33:52 200.00 200.77 68.46
10:33:52 200.00 201.15 92.31
10:33:52 200.00 200.35 116.15
10:33:52 200.00 199.81 140.00
10:33:52 200.00 199.45 163.85
10:33:52 200.00 199.21 -171.92
10:33:52 200.00 200.10 -148.08
10:33:52 200.00 199.65 -124.23
10:33:52 200.00 199.34 -100.38
10:33:52 200.00 199.13 -76.54
10:33:53 200.00 199.00 -52.69
10:33:53 200.00 198.91 -28.46
10:33:53 200.00 199.90 -4.23
10:33:53 200.00 200.57 19.62
10:33:53 200.00 199.96 43.46
10:33:53 200.00 199.55 67.31
10:33:53 200.00 199.27 91.15
10:33:53 200.00 199.09 115.39
10:33:53 200.00 200.03 139.62
10:33:53 200.00 200.65 163.85
10:33:53 200.00 201.07 -172.31
10:33:53 200.00 200.29 -148.85
10:33:53 200.00 198.72 -125.00
10:33:53 200.00 198.72 -100.77
10:33:53 200.00 199.78 -76.54
10:33:53 200.00 200.48 -52.31
10:33:53 200.00 200.96 -28.08
10:33:53 200.00 201.28 -4.23
10:33:53 200.00 200.43 20.00
10:33:53 200.00 200.92 44.23
10:33:53 200.00 201.25 68.46
10:33:53 200.00 201.47 92.69
10:33:53 200.00 201.62 116.92
10:33:53 200.00 201.72 140.77
10:33:53 200.00 200.73 164.62
10:33:53 200.00 200.07 -171.54
10:33:53 200.00 199.62 -147.31
10:33:53 200.00 200.38 -123.46
10:33:53 200.00 199.83 -99.23
10:33:53 200.00 200.52 -75.38
10:33:53 200.00 199.93 -51.54
10:33:53 200.00 199.53 -27.69
10:33:53 200.00 199.26 -3.85
10:33:53 200.00 199.08 20.39
10:33:53 200.00 200.02 44.62
10:33:53 200.00 200.65 68.46
10:33:53 200.00 200.01 92.31
10:33:53 200.00 199.58 115.77
10:33:53 200.00 198.24 140.00
10:33:53 200.00 199.46 164.23
10:33:53 200.00 200.27 -171.54
10:33:53 200.00 200.82 -147.31
10:33:53 200.00 201.18 -123.46
10:33:53 200.00 200.37 -99.61
10:33:53 200.00 199.82 -75.38
10:33:53 200.00 200.52 -51.15
10:33:53 200.00 200.98 -26.92
10:33:53 200.00 201.29 -2.69
10:33:53 200.00 201.50 21.15
10:33:53 200.00 200.58 45.00
10:33:54 200.00 199.97 69.23
10:33:54 200.00 200.61 93.08
10:33:54 200.00 199.99 117.31
10:33:54 200.00 200.63 141.54
10:33:54 200.00 201.05 165.39
10:33:54 200.00 200.28 -170.77
